title,doi
Utilization of machine learning algorithms in estimation of syngas fractions and exergy values for gasification of biomass-lignite mixtures in fixed and fluidized bed gasifiers,10.1016/j.fuel.2025.135883
Performance activation and syngas evolution mechanism of Ca-based industrial waste carbide slag on catalytic gasification of Mongolian bituminous coal,10.1016/j.fuel.2025.135667
Study on mechanism of in-situ hydrogen generation based on molecular dynamics simulation from pyrolysis of heavy oil,10.1016/j.fuel.2025.135534
Co-gasification of municipal sludge and black liquor in supercritical water for hydrogen production,10.1016/j.biombioe.2025.107979
Hydrothermal gasification of sisal wastes as an alternative to conventional gasification for hydrogen-rich gas production,10.1016/j.enconman.2025.119968
"Thermodynamic, life cycle, and techno-economic assessment of an autothermal supercritical water gasification system for direct processing raw pig manure: Hydrogen generation and ammonia recovery",10.1016/j.energy.2025.136880
Assessment of the optimal reaction conditions and catalyst combinations for production of carbon negative hydrogen from supercritical water gasification of microalgae,10.1016/j.biombioe.2025.107983
Study on hydrogen production by microwave-assisted steam gasification of Eupatorium adenophorum,10.1016/j.cep.2025.110354
Optimizing hydrogen production and efficiency in biomass gasification through advanced CFD modeling,10.1016/j.applthermaleng.2025.126454
"Revolutionizing MXene nanomaterials for hydrogen production and storage: Enhancing catalysis, storage, mechanical integrity, and ecosystem compatibility",10.1016/j.cis.2025.103528
Mechanistic insights into hydrogen production from CaO-catalyzed lignin gasification: A ReaxFF MD and DFT study,10.1016/j.ijhydene.2025.06.028
Numerical investigation on the scale-up and optimization of coal-supercritical water fluidized bed gasification reactors for hydrogen production,10.1016/j.ijhydene.2025.05.349
Collection of rich microalgae from textile wastewater and utilized for hydrogen production via hydrothermal gasification route: Performance study,10.1016/j.algal.2025.104052
Featuring of in-situ carbon capturing and functional performance study of hydrogen from aquaculture wastewater algae biomass via supercritical steam gasification route,10.1016/j.ces.2025.121704
Improvement of Biomass Gasification Power Plant Combined with a Molten Carbonate Fuel Cell (MCFC) using Simulation,10.37934/arfmts.131.1.4757
Waste to hydrogen: Steam gasification of municipal solid wastes with carbon capture for enhanced hydrogen production,10.1016/j.biombioe.2025.107855
Catalytic pyrolysis of plastic waste for hydrogen and carbon nanoparticle production: A pathway to sustainable biofuels and circular economy,10.1016/j.ecmx.2025.101048
A comprehensive life cycle impact evaluation of hydrogen production processes for cleaner applications,10.1016/j.energy.2025.136182
Achieving 100 % renewable e-methanol incorporating biomass-fired generation: A techno-economic study,10.1016/j.apenergy.2025.125648
An investigation of the impact of niobia loading on platinum catalysts for sour medium-temperature shift reaction,10.1016/j.cattod.2025.115306
Thermodynamic and environmental analysis of the hydrogen and combustible gas production in supercritical water partial oxidation system of coal,10.1016/j.energy.2025.136399
Hydrogen-rich syngas production from food waste via supercritical water gasification: Influence of gasification temperature and polyaniline and potassium carbonate (PANI-K2CO3) catalyst,10.1016/j.ijhydene.2025.05.375
"A comprehensive simulation study of integrated gasification, enrichment, and separation processes for biohydrogen production from sugarcane bagasse",10.1016/j.ijhydene.2024.05.332
Influences of cerium oxide on Chlorophyta growth and utilized as feedstock for hydrogen generation: Performance study,10.1016/j.ijhydene.2024.10.328
Performance investigation on a downdraft gasifier using corn waste as a solid biomass and co-feeding with hand gloves and used facemask waste,10.1016/j.ijhydene.2024.11.198
Enhancing hydrogen content in syngas from sago bagasse gasification using Al2O3 catalyst,10.1016/j.ijhydene.2025.05.061
A Comprehensive Study of the Hydrogen Energy-Based Green Steel Industry in Bangladesh: Prospects and Challenges,10.1016/j.ijhydene.2025.05.041
Sustainable green technology integrated hydrogen production system for low carbon future,10.1016/j.ijhydene.2025.04.326
Dynamic simulation and predictive control for supercritical water oxidation reactor using reactor network model,10.1016/j.energy.2025.135796
Studying the regeneration cycles of nickel-containing catalysts during high temperature gasification and prediction model fitting,10.1016/j.biombioe.2025.107745
Machine learning modeling of supercritical water gasification for predictive hydrogen production from waste biomass,10.1016/j.biombioe.2025.107816
A systematic review on environmentally friendly hydrogen production methods: comparative analysis of reactor technologies for optimal efficiency and sustainability,10.1016/j.scca.2025.100088
Market-oriented operational strategy for biomass-geothermal combined power generation and hydrogen production plant,10.1016/j.enconman.2025.119823
Efficient hydrogen conversion of toluene via biochar-supported Fe-Cu bimetallic catalyst under CO2-steam synergistic conditions,10.1016/j.jece.2025.116401
Research on the effect of selective adsorption of CO2 by C@Fe3O4 for H2 purification,10.1016/j.ccst.2025.100383
Hydrogen production and storage as ammonia by supercritical water gasification of biomass,10.1016/j.enconman.2025.119654
Techno-economic and environmental impacts of hybridization and low-carbon fuels on heavy-duty trucks,10.1016/j.enconman.2025.119634
Comparative analysis of syngas production from 11 different biomass feedstocks in a fixed-bed downdraft gasifier,10.1016/j.ijhydene.2025.04.064
Hydrothermal Conversion of Forest-Based Biomass to Hydrogen,10.1021/acssuschemeng.5c01301
Comparative Life Cycle Assessment of Hydrogen Production via Biogas Reforming and Agricultural Residue Gasification,10.3390/app15095029
Hydrogen production from tea waste via fluidized bed gasification reactor of multi-ports injection: Experimental investigation,10.1016/j.renene.2025.122713
Enhancing biomass chemical looping gasification for hydrogen production: Synergistic effect of in-situ NaAlO2 on Fe2O3/EAFS,10.1016/j.fuel.2025.134419
Review of machine learning techniques for energy sharing and biomass waste gasification pathways in integrating solar greenhouses into smart energy systems,10.1016/j.egyai.2025.100498
Investigating the Influence of Desulfurization Fly Ash on the Upgrading of Biomass-Derived Pyrolysis Gas,10.15376/biores.20.2.2544-2555
Technoeconomic feasibility of date palm waste gasification: a pathway to green hydrogen production,10.1002/bbb.2740
Reduced-Order Modeling (ROM) of a Segmented Plug-Flow Reactor (PFR) for Hydrogen Separation in Integrated Gasification Combined Cycles (IGCC),10.3390/pr13051455
A new hydrogen production route through biomass gasification in a two-stage fixed bed reactor within the BECCS concept: A techno-economic and life cycle assessment study,10.1016/j.ijhydene.2025.03.441
"CO2 Capture, Purification, and Utilizing for Food Processing Applications",10.1111/jfpe.70134
Municipal Solid Waste Potential for Indonesian Electrical Energy Sharing: Process Simulation Study,10.22146/ajche.16716
