title,doi
Sorption enhanced chemical looping gasification of biomass for H2 and transportation fuel production,10.1016/j.renene.2025.123022
Preparing hydrogen-rich syngas by chemical looping reforming of wheat straw pyrolysis volatiles via NiFe2O4@SBA-15 oxygen carrier,10.1016/j.ces.2025.121780
Retrofitting the natural gas combined cycle through integration with chemical looping hydrogen generation and ammonia synthesis toward a carbon-neutral trigeneration system,10.1016/j.jclepro.2025.145691
Large-scale green hydrogen production via chemical looping of unused biomass with optimized supply networks,10.1016/j.ijhydene.2025.05.194
"Enhanced Production of Hydrogen through Modified Brownmillerite Ca2Fe2-xMxO5 (M: Co, Cu, Ni) for Chemical Looping Gasification",10.1016/j.fuel.2025.134490
Comprehensive analysis of life cycle energy consumption and environmental impact of hydrogen production process via plasma co-gasification of coal and biomass,10.1016/j.energy.2025.135976
"Comprehensive review on biomass chemical looping combustion: Feedstock type, operating conditions, reactor design, technological advancement, mechanistic insights, and economics",10.1016/j.jece.2025.116947
Research progress on thermochemical conversion of biomass to green hydrogen,10.16085/j.issn.1000-6613.2024-1899
Technologies for high value-added valorization of biomass energy,10.16085/j.issn.1000-6613.2024-1879
Enhancing biomass chemical looping gasification for hydrogen production: Synergistic effect of in-situ NaAlO2 on Fe2O3/EAFS,10.1016/j.fuel.2025.134419
Hydrogen production from biomass: A review combined with bibliometric analysis,10.1016/j.ijhydene.2025.03.158
Co3O4 and CoFe2O4 as oxygen carriers in straw char on solid-solid and gas-solid reactions behavior during chemical-looping gasification for hydrogen-rich syngas production,10.1016/j.jece.2025.115799
Oxy-polishing of gas from chemical looping combustion: Fuel-nitrogen transformation and model-aided gas purity optimization,10.1016/j.cej.2025.161267
Hydrogen Production by Biomass Model Syngas Chemical Looping over Ce/Zr Doped NiFe2O4 Oxygen Carrier,10.1021/acs.energyfuels.4c06291
Advancement in neutral and negative emissions production of ammonia from carbonaceous sources: A review,10.1016/j.ijhydene.2025.01.417
Biomass and waste plastics chemical looping co-gasification for hydrogen-electricity-DME conservation and recycling based on machine learning,10.1016/j.energy.2025.134868
Catalytic Performance of Iron-Based Oxygen Carriers Mixed with Converter Steel Slags for Hydrogen Production in Chemical Looping Gasification of Brewers’ Spent Grains,10.3390/en18051298
"Biochar chemical-looping gasification for hydrogen-rich syngas production in solid-solid reaction: O, H and CaO of carbide slag effect NiFe2O4 oxygen carrier",10.1016/j.jenvman.2025.124560
The outer-inner loop mechanism of alkali carbonate-modified BaFe2O4 during the biomass char chemical looping partial oxidation and hydrogen generation (CLPH) process,10.1016/j.cej.2025.159962
B-site semi-doped LaFeO3 perovskite oxygen carrier for biomass chemical looping steam gasification to produce hydrogen-rich syngas,10.1016/j.ijhydene.2025.01.190
Study on the kinetic characteristics of stepwise reduction and steam oxidation for the packed-bed chemical looping hydrogen production,10.1016/j.renene.2024.122215
Competitive Reaction Mechanism Between Biomass Char and Reduced Oxygen Carrier during Chemical Looping Hydrogen Production,10.1021/acs.energyfuels.4c05185
Techno-economic and thermodynamic analysis of hydrogen production process via plasma co-gasification of coal and biomass,10.1016/j.energy.2024.134241
"Efficient and low-emission approaches for cost-effective hydrogen, power, and heat production based on chemical looping combustion",10.1016/j.psep.2024.11.083
Novel Coal/Biomass Chemical Looping Combustion Coupling with Green Hydrogen for Power and Methanol Co-Production Processes: Modeling and Techno-Economic Analysis,10.1007/s41660-025-00535-6
"Energy and exergy analysis of CLC-based biomass fired power plants: effect of different oxygen carriers, hydrogen and power co-production",10.1504/IJEX.2025.146048
"Exploring diverse pathways for low-carbon production of hydrogen, methanol, power and heat with enhanced solid carbon utilization efficiency",10.1016/j.energy.2024.134071
Chemical Looping Systems for Hydrogen Production and Their Implementation in Aspen Plus Software: A Review and Bibliometric Analysis,10.17509/ijost.v10i2.82075
Green Hydrogen Production by Chemical Looping Reforming of Wheat Straw Pyrolysis Volatiles via LaNixFe1-xO3@SBA-15,10.1021/acs.iecr.4c03403
Enhanced hydrogen production and fuel conversion of an iron-based oxygen carrier in the chemical looping process by a small co-addition of CuO and NiO,10.1039/d4ta06562j
A hybrid solar-biomass hydrogen production system using chemical looping with negative carbon emissions and comprehensive performance evaluation,10.1016/j.enconman.2024.119161
Thermodynamic and exergo-economic evaluation of biomass-to-X system combined the chemical looping gasification and proton exchange membrane fuel cell,10.1016/j.enconman.2024.119132
3E analysis of an integrated multigeneration system for producing hydrogen and formic acid,10.1016/j.jclepro.2024.144277
Study on Chemical Looping Gasification of Biomass for Hydrogen-rich Syngas Production,
"Life cycle assessment and techno-economic analysis of maleic anhydride hydrogenation to 1,4-butanediol through biomass gasification coupling with chemical looping hydrogen production",10.1016/j.renene.2024.121623
Configuration optimization of a biomass chemical looping gasification (CLG) system combined with CO2 absorption,10.1016/j.renene.2024.121459
BCLH2Pro: A novel computational tools approach for hydrogen production prediction via machine learning in biomass chemical looping processes,10.1016/j.egyai.2024.100414
Optimizing the gasification performance of biomass chemical looping gasification: enhancing syngas quality and tar reduction through red mud oxygen carrier,10.1007/s13399-023-05056-1
Optimization of a novel hydrogen production process integrating biomass and sorption-enhanced reforming for reduced CO2 emissions,10.1016/j.jece.2024.114069
Establishment of machine learning-driven biomass pyrolysis model and optimization of volatiles chemical looping reforming hydrogen production process,10.11949/0438-1157.20240647
Thermodynamics analysis of innovative carbon-negative systems for direct reduction of iron ore via chemical looping technology,10.1016/j.energy.2024.133019
Experimental and process simulation on solid fuel chemical looping cascade utilization conversion technology aiming hydrogen generation,10.1016/j.renene.2024.121291
On the Applicability of Iron-Based Oxygen Carriers and Biomass-Based Syngas for Chemical Looping Hydrogen Production,10.1021/acs.energyfuels.4c03137
Modeling and thermodynamic optimization of distributed combined heat and power system based on biomass chemical looping hydrogen generation process,10.1016/j.cep.2024.109862
Economic and Environmental Analyses of an Integrated Power and Hydrogen Production Systems Based on Solar Thermal Energy,10.3390/en17174264
Hydrogen Production from Biomass-Based Chemical Looping: A Critical Review and Perspectives,10.1021/acs.energyfuels.4c02391
Co-feeding biomass and municipal solid waste for enhanced hydrogen and synthetic natural gas yields employing chemical looping process,10.1016/j.cej.2024.152487
