title,doi
Reverse chemical looping pyrolysis characteristics of pine wood biomass over reduced Ca2Fe2O5 oxygen carrier,10.1016/j.jaap.2025.107177
Advancements in non-renewable and hybrid hydrogen production: Technological innovations for efficiency and carbon reduction,10.1016/j.fuel.2025.135065
Detailed molecular dynamic study on benzene decomposition and soot formation over Fe2O3(0 0 1) surface under external electric field (EEF) during chemical looping gasification,10.1016/j.joei.2025.102137
Sorption enhanced chemical looping gasification of biomass for H2 and transportation fuel production,10.1016/j.renene.2025.123022
"System integration, optimization, exergy and CO2 emissions analysis of petroleum coke/coal gasification-assisted coking dry gas chemical looping reforming for methanol production",10.1016/j.fuel.2025.134876
Consecutive coproduction of H2 and syngas from waste polyolefins derived pyrolysis gas via chemical looping cracking–gasification,10.1016/j.wasman.2025.114855
"Pyro-gasification of Norwegian industrial solid waste (ISW) for hydrogen production and district heating application: A 4-E (energy, exergy, environment, and economic) analysis",10.1016/j.ecmx.2025.101068
"Enhanced Production of Hydrogen through Modified Brownmillerite Ca2Fe2-xMxO5 (M: Co, Cu, Ni) for Chemical Looping Gasification",10.1016/j.fuel.2025.134490
Comprehensive analysis of life cycle energy consumption and environmental impact of hydrogen production process via plasma co-gasification of coal and biomass,10.1016/j.energy.2025.135976
Research progress on thermochemical conversion of biomass to green hydrogen,10.16085/j.issn.1000-6613.2024-1899
Technologies for high value-added valorization of biomass energy,10.16085/j.issn.1000-6613.2024-1879
Pyrolysis and in-line chemical looping cracking-gasification of face mask waste into hydrogen-rich syngas,10.1016/j.cej.2025.162539
Enhancing biomass chemical looping gasification for hydrogen production: Synergistic effect of in-situ NaAlO2 on Fe2O3/EAFS,10.1016/j.fuel.2025.134419
Effect of calcination temperature of red mud POC and hydrothermal pretreatment of wet sludge on syngas quality,10.1016/j.jaap.2025.106993
Kinetics and experimental evaluation of hydrogen-rich synthesis gas from alkali lignin by chemical looping gasification with NiFe2O4 oxygen carrier,10.1016/j.renene.2025.122557
Hydrogen production from biomass: A review combined with bibliometric analysis,10.1016/j.ijhydene.2025.03.158
Discussion on the preparation of hydrogen-rich reducing gas by coupling metallurgical solid waste oxygen carrier and chemical looping gasification technology,10.7513/j.issn.1004-7638.2025.02.015
Co3O4 and CoFe2O4 as oxygen carriers in straw char on solid-solid and gas-solid reactions behavior during chemical-looping gasification for hydrogen-rich syngas production,10.1016/j.jece.2025.115799
"Thermokinetic synergistic evaluation of iron ores as oxygen carriers for TGA simulated pyrolysis, gasification, and chemical looping combustion of municipal solid wastes",10.1016/j.scp.2025.101917
From waste to energy: Comprehensive understanding of the thermal-chemical utilization techniques for waste tire recycling,10.1016/j.rser.2025.115354
Fluidized bed applications and modern scale-up tools for the energy transition,10.1002/cjce.25420
An efficient low-carbon hydrogen production system based on novel staged gasification coupling with chemical looping technology,10.1016/j.enconman.2025.119625
Advancement in neutral and negative emissions production of ammonia from carbonaceous sources: A review,10.1016/j.ijhydene.2025.01.417
Catalytic Performance of Iron-Based Oxygen Carriers Mixed with Converter Steel Slags for Hydrogen Production in Chemical Looping Gasification of Brewers’ Spent Grains,10.3390/en18051298
