title,doi
CATALYZED STEAM GASIFICATION OF BIOMASS,10.1016/0165-2370(79)80013-3
FLUIDIZED-BED GASIFICATION OF SOLID-WASTES AND BIOMASS - CIL PROGRAM,
DEVELOPMENT OF PROTOTYPE PACKAGED GASIFICATION AND COMBUSTION SYSTEMS FOR REFINED BIOMASS AIR BLOWN PRODUCER GAS,
BIOMASS GASIFICATION AT THE FOCUS OF THE ODEILLO (FRANCE) 1 MWTH SOLAR FURNACE,
FUNDAMENTAL INVESTIGATION OF THE STEAM GASIFICATION OF BIOMASS IN THE PRESENCE OF CATALYSTS,
"EFFECTS OF RESIDENCE TIME, TEMPERATURE, AND PRESSURE ON THE STEAM GASIFICATION OF BIOMASS",
ASSESSMENT OF THE GASIFICATION CHARACTERISTICS OF SOME AGRICULTURAL AND FOREST INDUSTRY RESIDUES USING A LABORATORY GASIFIER,10.1016/0304-3967(79)90019-2
"SOLAR GASIFICATION OF COAL, ACTIVATED CARBON, COKE AND COAL AND BIOMASS MIXTURES",10.1016/0038-092X(80)90347-3
GASOHOL-BIOMASS DEVELOPMENTS - METHANE-METHANOL BY CATALYTIC GASIFICATION OF BIOMASS,
MATHEMATICAL-MODEL FOR THE FLUID-BED GASIFICATION OF BIOMASS MATERIALS - APPLICATION TO FEEDLOT MANURE,10.1021/i200015a019
ORGANIC-ACID PRODUCTION FROM CO2-H2 AND CO-H2 BY MIXED-CULTURE ANAEROBES,10.1002/bit.260231012
BIOTHERMAL GASIFICATION OF BIOMASS AND ORGANIC RESIDUES,
GASIFICATION OF BIOMASS IN A FLUIDIZED-BED,10.1016/0300-9467(81)80017-2
BIOMASS GASIFICATION FOR PRODUCTION OF GASEOUS AND LIQUID FUELS,
ENTRAINED PYROLYSIS-GASIFICATION OF BIOMASS TO SYNGAS,
THERMAL BIOMASS GASIFICATION,
HIGH-TEMPERATURE GASIFICATION KINETICS OF BIOMASS PYROLYSIS,10.1016/0165-2370(81)80017-4
ECONOMIC-POTENTIAL OF ON-FARM BIOMASS GASIFICATION FOR CORN DRYING,
FEASIBILITY OF GASIFICATION FOR DRYING AS RELATED TO ENERGY AVAILABILITY IN CORN BIOMASS,
BIOMASS CHANNEL-GASIFICATION FURNACE,
THERMOCHEMICAL CONVERSION OF BIOMASS - GASIFICATION BY FLASH PYROLYSIS STUDY,10.1016/0038-092X(82)90065-2
EFFECT OF P-CRESOL ON LEAF DECOMPOSITION AND INVERTEBRATE COLONIZATION IN EXPERIMENTAL OUTDOOR STREAMS,10.1139/f83-191
FUEL GAS FROM PLANT-SUBSTANCES - ASPECTS AND DEVELOPMENT STAGE OF THE GASIFICATION OF BIOMASSES,
UPGRADING OF BIOMASS BY PYROLYSIS AND GASIFICATION PROCESSES,
A KINETICS STUDY ON CATALYTIC AND NON-CATALYTIC STEAM GASIFICATION OF BIOMASS,10.1016/0378-3820(83)90006-1
CATALYSTS FOR GASIFICATION OF BIOMASS,
ALKALI CATALYSIS IN BIOMASS GASIFICATION,10.1016/0165-2370(84)80024-8
MECHANISMS OF CATALYTIC BIOMASS GASIFICATION,10.1016/0165-2370(84)80023-6
DISPOSAL OF EFFLUENTS FROM BIOMASS GASIFICATION SYSTEMS,
STEAM GASIFICATION OF BIOMASS,
LOW-TEMPERATURE GASIFICATION OF HIGH-MOISTURE BIOMASS,
GASIFICATION OF BIOMASS,
SYSTEM-DESIGN FOR DEHYDRATING FORAGES USING BIOMASS GASIFICATION,
THE HETEROTROPHIC AND AUTOTROPHIC GROWTH OF A-EUTROPHUS - RESPONSES TO BIOMASS GASIFICATION IMPURITIES,10.1002/bit.260261017
ANALYSIS OF CHEMICAL INTERMEDIATES FROM LOW-TEMPERATURE STEAM GASIFICATION OF BIOMASS,10.1016/0016-2361(84)90245-X
